id,name,code,description,status,approver_id,approved_at,created_at,updated_at,created_by,leader_id,plant_id,cost_center_id
96,TU1611S1-33-X74Z2_P001,TU1611S1-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
97,TU1611R-33-X74Z2_P001,TU1611R-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
98,TU1611R-33-X74Z1_P001,TU1611R-33-X74Z1_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
99,TU1611R2-33-X74Z2_P001,TU1611R2-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
100,TU1611R1-33-X74Z2_P001,TU1611R1-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
101,TU1611PU2-33-X74Z2_P001,TU1611PU2-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
102,TU1611PU1-33-X74Z2_P001,TU1611PU1-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
103,TU1611P1-33-X74Z2_P001,TU1611P1-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
104,TU1611GR2-33-X74Z2_P001,TU1611GR2-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
105,TU1611GR1-33-X74Z2_P001,TU1611GR1-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
106,TU1611G4-33-X74Z2_P001,TU1611G4-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
107,TU1611G-33-X74Z2_P001,TU1611G-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
