id,boo_id,code,status,is_active,quantity,note,active_start_date,active_end_date,approved_by,approved_at,created_by,created_at,updated_at,routing_id,item_type_id,cost_center_id
77,77,VHS30-N02B-Z_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,77,1,654dea19ea2800006600527e
78,78,VHS30-N02B-S-Z_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,78,1,654dea19ea2800006600527e
79,79,VHS30-N02B-RZ_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,79,1,654dea19ea2800006600527e
80,80,VHS30-N02A-Z_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,80,1,654dea19ea2800006600527e
81,81,VHS30-N02A-RZ_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,81,1,654dea19ea2800006600527e
82,82,VHS20-N02B-Z_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,82,1,654dea19ea2800006600527e
83,83,VHS20-N02B-S-Z_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,83,1,654dea19ea2800006600527e
84,84,VHS20-N02B-RZ_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,84,1,654dea19ea2800006600527e
85,85,VHS20-N02B-KZ_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,85,1,654dea19ea2800006600527e
86,86,VHS20-N02B-B-Z_P001,1,TRUE,0,,2024-09-04 06:22:23.243000 +00:00,2024-09-04 06:31:54.808000 +00:00,1,2024-08-31 12:00:00.000000 +00:00,,2024-09-11 07:20:20.838193 +00:00,2024-09-17 07:12:34.514879 +00:00,86,1,654dea19ea2800006600527e
